	subsys4	indices	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
1	_Toximoron (Other)	1	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2	"phi-Carotenoid synthase" (EC 1.3.-.- and EC 2.1.1-)	2	10	1	0	0	1	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0
3	(3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)	3	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	4	10	1	1	1	1	1	1	1	1	1	0	11	19	2	1	1	1	1	1	1
5	(GlcNAc)2 ABC transporter, ATP-binding component 1	5	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
6	(GlcNAc)2 ABC transporter, ATP-binding component 2	6	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
7	(GlcNAc)2 ABC transporter, periplasmic substrate-binding protein	7	10	1	7422	1	1	1	1	1	1	6045	115	1	3	0	1	1	1	4	121	5
8	(GlcNAc)2 ABC transporter, permease component 1	8	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
9	(GlcNAc)2 ABC transporter, permease component 2	9	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
10	(Pyruvate) Oxoisovalerate Dehydrogenase Alpha & Beta Fusion like	10	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
11	(R)-2-hydroxyacid dehydrogenase, similar to L-sulfolactate dehydrogenase (EC 1.1.1.272)	11	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
12	(R)-3-hydroxydecanoyl-ACP:CoA transacylase PhaG (3-hydroxyacyl-CoA-acyl carrier protein transferase) (EC 2.4.1.-)	12	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
13	(R)-citramalate synthase (EC 2.3.1.182)	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	14	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
15	(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase	15	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
16	(S)-3-O-geranylgeranylglyceryl phosphate synthase	16	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
17	[Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39)	17	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
18	[Fe] hydrogenase, HymA subunit, putative	18	10	8	1	9	1	1	1	1	1	39	0	1	3	42	1	1	11	7	18	241
19	[Ni/Fe] hydrogenase, group 1, large subunit	19	10	1	1	1	6	1	1	110	7104	1	0	1	3	0	1	1	1	1	1	1
20	[Ni/Fe] hydrogenase, group 1, small subunit	20	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
21	[NiFe] hydrogenase metallocenter assembly protein HybG	21	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
22	[NiFe] hydrogenase metallocenter assembly protein HypC	22	10	46	1	1	1	1	1	1	1	13	0	1	3	0	1	12	1	1	1	1
23	[NiFe] hydrogenase metallocenter assembly protein HypD	23	10	1	1	1	1	1	1	1	1	1	0	1	19	0	1	1	1	1	1	1
24	[NiFe] hydrogenase metallocenter assembly protein HypE	24	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
25	[NiFe] hydrogenase metallocenter assembly protein HypF	25	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
26	[NiFe] hydrogenase nickel incorporation protein HybF	26	10	1	1	1	1	1	1	1	1	1	168	1	3	30	1	1	1	11	18	1
27	[NiFe] hydrogenase nickel incorporation protein HypA	27	10	0	0	4	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0
28	[NiFe] hydrogenase nickel incorporation-associated protein HypB	28	10	1	1	1	1	1	1	1	1	1	160	1	3	277	1	1	1	1	1	385
29	[Protein-PII] uridylyltransferase (EC 2.7.7.59)	29	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
30	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	30	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
31	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	31	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
32	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	32	10	6	0	0	0	0	0	0	0	4	0	1	0	0	0	2	0	18	0	0
33	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	33	10	1	1	1	1	1	1	1	1	1	0	1	3	3	1	1	1	1	1	1
34	1-phosphofructokinase (EC 2.7.1.56)	34	10	4	2	0	1	2	2	0	2	0	0	2	49	0	0	0	1	8	0	0
35	1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22)	35	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
36	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)	36	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
37	1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate dehydrogenase (EC 1.3.1.25)	37	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
38	1,2-dihydroxynaphthalene dioxygenase	38	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
39	1,3-propanediol dehydrogenase (EC 1.1.1.202)	39	10	1	1	1	1	1	1	1	1	1	0	1	3	2	10	1	1	1	1	1
40	1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	40	10	18	50	23	4	1	140	4	7	14	15	26	318	10	2	0	59	1	8	174
41	1,4-alpha-glucan branching enzyme (EC 2.4.1.18)	41	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
42	1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.74)	42	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
43	10 kDa culture filtrate antigen CFP-10 (EsxB)	43	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
44	16 kDa heat shock protein A	44	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
45	16 kDa heat shock protein B	45	10	1	1	1	1	689	1	1	1	1	0	1	3	0	1	93	11	14	1	19
46	16S rRNA m(5)C 967 methyltransferase (EC 2.1.1.-)	46	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
47	16S rRNA processing protein RimM	47	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
48	1H-3-hydroxy-4-oxoquinaldine 2,4-dioxygenase	48	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
49	1st GPH family transporter in unknown oligosaccharide utilization Sde 1396	49	10	1	1	0	0	2	0	0	0	0	10	1	5	5	1	0	2	27	4	8
50	2-(acetamidomethylene)succinate hydrolase (EC 3.5.1.29)	50	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
51	2-Amino-2-deoxy-isochorismate hydrolase (EC 3.-.-.-)	51	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
52	2-Amino-2-deoxy-isochorismate synthase (EC 4.1.3.-)	52	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
53	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45)	53	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
54	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	54	10	1	1	1	1	17	1	1	1	1	0	1	3	0	1	1	1	1	1	1
55	2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.5.1.-)	55	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	56	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
57	2-amino-4-ketopentanoate thiolase, alpha subunit	57	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
58	2-amino-4-ketopentanoate thiolase, beta subunit	58	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
59	2-aminoethylphosphonate ABC transporter ATP-binding protein (TC 3.A.1.9.1)	59	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
60	2-aminoethylphosphonate ABC transporter periplasmic binding component (TC 3.A.1.9.1)	60	10	1	1	1	1	6	1	1	1	1	0	1	3	0	1	1	1	1	1	1
61	2-aminoethylphosphonate ABC transporter permease protein I (TC 3.A.1.9.1)	61	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
62	2-aminoethylphosphonate ABC transporter permease protein II (TC 3.A.1.9.1)	62	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
63	2-aminoethylphosphonate uptake and metabolism regulator	63	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
64	2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37)	64	10	1	1	1	1	603	1	1	1	1	0	1	3	3	10	12	1	18	1	5
65	2-aminomuconate deaminase (EC 3.5.99.5)	65	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
66	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	66	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
67	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	67	10	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
68	2-chlorobenzoate 1,2-dioxygenase alpha subunit (EC 1.14.12.13)	68	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
69	2-chlorobenzoate 1,2-dioxygenase reductase component	69	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
70	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127)	70	10	1	1	28	1	6	1	1	1	13	10	1	19	27	1	1	1	98	26	79
71	2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	71	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
72	2-dehydro-3-deoxyglucarate aldolase (EC 4.1.2.20)	72	10	1	1	1	1	1	1	1	1	1	0	1	3	0	10	1	1	1	1	1
