	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
_Toximoron (Other)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
"phi-Carotenoid synthase" (EC 1.3.-.- and EC 2.1.1-)	10	1	0	0	1	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0
(3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	10	1	1	1	1	1	1	1	1	1	0	11	19	2	1	1	1	1	1	1
(GlcNAc)2 ABC transporter, ATP-binding component 1	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
(GlcNAc)2 ABC transporter, ATP-binding component 2	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
(GlcNAc)2 ABC transporter, periplasmic substrate-binding protein	10	1	7422	1	1	1	1	1	1	6045	115	1	3	0	1	1	1	4	121	5
(GlcNAc)2 ABC transporter, permease component 1	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
(GlcNAc)2 ABC transporter, permease component 2	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
(Pyruvate) Oxoisovalerate Dehydrogenase Alpha & Beta Fusion like	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
(R)-2-hydroxyacid dehydrogenase, similar to L-sulfolactate dehydrogenase (EC 1.1.1.272)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
(R)-3-hydroxydecanoyl-ACP:CoA transacylase PhaG (3-hydroxyacyl-CoA-acyl carrier protein transferase) (EC 2.4.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
(R)-citramalate synthase (EC 2.3.1.182)	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
(S)-3-O-geranylgeranylglyceryl phosphate synthase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
[Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
[Fe] hydrogenase, HymA subunit, putative	10	8	1	9	1	1	1	1	1	39	0	1	3	42	1	1	11	7	18	241
[Ni/Fe] hydrogenase, group 1, large subunit	10	1	1	1	6	1	1	110	7104	1	0	1	3	0	1	1	1	1	1	1
[Ni/Fe] hydrogenase, group 1, small subunit	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
[NiFe] hydrogenase metallocenter assembly protein HybG	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
[NiFe] hydrogenase metallocenter assembly protein HypC	10	46	1	1	1	1	1	1	1	13	0	1	3	0	1	12	1	1	1	1
[NiFe] hydrogenase metallocenter assembly protein HypD	10	1	1	1	1	1	1	1	1	1	0	1	19	0	1	1	1	1	1	1
[NiFe] hydrogenase metallocenter assembly protein HypE	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
[NiFe] hydrogenase metallocenter assembly protein HypF	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
[NiFe] hydrogenase nickel incorporation protein HybF	10	1	1	1	1	1	1	1	1	1	168	1	3	30	1	1	1	11	18	1
[NiFe] hydrogenase nickel incorporation protein HypA	10	0	0	4	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0
[NiFe] hydrogenase nickel incorporation-associated protein HypB	10	1	1	1	1	1	1	1	1	1	160	1	3	277	1	1	1	1	1	385
[Protein-PII] uridylyltransferase (EC 2.7.7.59)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	10	6	0	0	0	0	0	0	0	4	0	1	0	0	0	2	0	18	0	0
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	3	1	1	1	1	1	1
1-phosphofructokinase (EC 2.7.1.56)	10	4	2	0	1	2	2	0	2	0	0	2	49	0	0	0	1	8	0	0
1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate dehydrogenase (EC 1.3.1.25)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1,2-dihydroxynaphthalene dioxygenase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1,3-propanediol dehydrogenase (EC 1.1.1.202)	10	1	1	1	1	1	1	1	1	1	0	1	3	2	10	1	1	1	1	1
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	10	18	50	23	4	1	140	4	7	14	15	26	318	10	2	0	59	1	8	174
1,4-alpha-glucan branching enzyme (EC 2.4.1.18)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.74)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
10 kDa culture filtrate antigen CFP-10 (EsxB)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
16 kDa heat shock protein A	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
16 kDa heat shock protein B	10	1	1	1	1	689	1	1	1	1	0	1	3	0	1	93	11	14	1	19
16S rRNA m(5)C 967 methyltransferase (EC 2.1.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
16S rRNA processing protein RimM	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1H-3-hydroxy-4-oxoquinaldine 2,4-dioxygenase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1st GPH family transporter in unknown oligosaccharide utilization Sde 1396	10	1	1	0	0	2	0	0	0	0	10	1	5	5	1	0	2	27	4	8
2-(acetamidomethylene)succinate hydrolase (EC 3.5.1.29)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-Amino-2-deoxy-isochorismate hydrolase (EC 3.-.-.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-Amino-2-deoxy-isochorismate synthase (EC 4.1.3.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	10	1	1	1	1	17	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.5.1.-)	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2-amino-4-ketopentanoate thiolase, alpha subunit	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-amino-4-ketopentanoate thiolase, beta subunit	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-aminoethylphosphonate ABC transporter ATP-binding protein (TC 3.A.1.9.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-aminoethylphosphonate ABC transporter periplasmic binding component (TC 3.A.1.9.1)	10	1	1	1	1	6	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-aminoethylphosphonate ABC transporter permease protein I (TC 3.A.1.9.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-aminoethylphosphonate ABC transporter permease protein II (TC 3.A.1.9.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-aminoethylphosphonate uptake and metabolism regulator	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37)	10	1	1	1	1	603	1	1	1	1	0	1	3	3	10	12	1	18	1	5
2-aminomuconate deaminase (EC 3.5.99.5)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	10	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
2-chlorobenzoate 1,2-dioxygenase alpha subunit (EC 1.14.12.13)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-chlorobenzoate 1,2-dioxygenase reductase component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127)	10	1	1	28	1	6	1	1	1	13	10	1	19	27	1	1	1	98	26	79
2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-dehydro-3-deoxyglucarate aldolase (EC 4.1.2.20)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	10	1	1	1	1	1
2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-dehydropantoate 2-reductase (EC 1.1.1.169)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	5	1	1	4	1	1
2-deoxyglucose-6-phosphate hydrolase YniC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase BchC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-haloalkanoic acid dehalogenase (EC 3.8.1.2)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-heptaprenyl-1,4-naphthoquinone methyltransferase (EC 2.1.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase related protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase (EC 3.7.1.-)	10	8	1	1	1	23	1	1	1	1	127	1	3	0	1	1	1	1	1	5
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-hydroxychromene-2-carboxylate isomerase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-hydroxymuconic semialdehyde hydrolase (EC 3.7.1.9)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-hydroxypenta-2,4-dienoate hydratase (CmtF) (EC 4.2.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-isopropylmalate synthase (EC 2.3.3.13)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	10	0	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II PhzC (EC 2.5.1.54)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-keto-3-deoxy-L-fuconate dehydrogenase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-keto-3-deoxygluconate permease (KDG permease)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-keto-4-pentenoate hydratase (EC 4.2.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, cytochrome c	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, flavoprotein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
