rab.all	rab.win.healthy	rab.win.nash	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
"phi-Carotenoid synthase" (EC 1.3.-.- and EC 2.1.1-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	0.478823515258074	1.0223580551726	-0.149680848406236	-2.40729696113181	4.10518441452007	-0.518595288652469	0.240625072198646	0.0436680203690323	0.755425956098685	0.0478018136082184	0.865911163539232
(3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-7.75113728269787	-8.13390194436121	-7.22564272327479	1.04446206860819	4.97249223386447	0.192618159813174	0.395312522275204	0.412796096503562	0.820264031031875	0.455488928641018	0.906467672680362
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	7.56528692812984	7.63393157817139	7.41606448833497	-0.168629948408324	0.99614822367926	-0.149011863083487	0.417187517323441	0.217596030837301	0.784227872052795	0.553462996465609	0.91656228257302
(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Archaeal_lipids	1.6700709551599	2.15612778173368	-0.145354123926796	-1.84820512250869	6.02429296556672	-0.307476637391892	0.407812519415594	0.147218442464774	0.778286400078756	0.525823417101475	0.919231126081534
[Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASI	-2.56516995809135	-1.21722720490429	-2.56516995809135	0.97656853353957	7.87139735058372	0.119818465269747	0.429017175379004	0.607264763528332	0.871857712757062	0.640522499945875	0.929921459524257
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||polyprenyl_synthesis	7.46880755209342	7.46948918844372	7.46428628671971	-0.0870928039269661	1.14737820277312	-0.0734819352608936	0.458658354776321	0.776015295553608	0.917288046888803	0.834355430270194	0.947899845281327
2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	1.42408410079803	0.820176416712799	2.09571699396042	0.534499546364596	3.14588057148062	0.174390653343486	0.43281251392068	0.737876556830275	0.919846392481301	0.62463253899738	0.926500169015236
3-hydroxy-3isohexenylglutaryl-CoA:acetate lyase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization	-7.39345570553894	-7.22163700923117	-7.66142460133794	-0.372942956036015	4.30432658314884	-0.0613951272087488	0.460937507996083	0.490742423059792	0.848677220506686	0.549726395895127	0.920789591310872
3-hydroxydecanoyl-[ACP] dehydratase (EC 4.2.1.60)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-6.51319617219942	-6.11479246586029	-6.84816997352819	-0.618702983054662	5.99915156970063	-0.080522838221895	0.457098292697049	0.657577247273984	0.886769040993643	0.671122233513391	0.93918612049096
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	-3.83064433090737	-5.50994174405909	-1.79663975780689	3.21876371081392	5.78605273470535	0.504547545963549	0.28593755332507	0.142770634899454	0.771374607169958	0.125117215408431	0.87518811378966
3-ketoacyl-CoA thiolase (EC 2.3.1.16)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	4.53531214111848	4.75460214716048	3.47139468075757	-1.37269799237205	2.5553764804847	-0.36946097192197	0.252730175590705	0.0531077968383798	0.757988211217188	0.0786539070449674	0.870104498816763
3-oxoacyl-[ACP] reductase (EC 1.1.1.100)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-5.56480578409487	-5.4127245477286	-5.75257714478794	-0.656805687491869	5.99785314666096	-0.0902548715199067	0.457812508644603	0.647834090666499	0.886057393227462	0.685244829667237	0.932679047947606
3-oxoacyl-[ACP] synthase (EC 2.3.1.41) FabV like|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-5.32195547744961	-4.60717174242918	-5.95531024508021	-1.16119808823743	5.42397603899797	-0.16625718996153	0.416536678879364	0.599349823952985	0.870486884260746	0.58609759290632	0.926503365016858
3-oxoacyl-[ACP] synthase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-7.64443589354987	-8.06588848529498	-7.23818325088015	1.16879474475678	5.39067864579927	0.207347223951812	0.386895499995569	0.372352029390337	0.813404569680541	0.415113632980796	0.902921750230516
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	9.31801392615188	9.36084153848772	9.27577069857857	-0.154670697266035	1.07327210557972	-0.115865957730635	0.446177858157851	0.542253761011219	0.827601176050809	0.67605948859577	0.922910460142602
3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	2.56261490822426	3.12322918837137	1.55411012865943	-0.90439872295448	2.69868558401676	-0.350854467349218	0.360937530664299	0.337885505363142	0.802547970146249	0.329984631757561	0.910374814069397
3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	8.30965823123444	8.37393245239363	8.22535640800991	-0.233738975056235	1.06362275744748	-0.193130569012459	0.402496120401094	0.219680255498212	0.784459647175158	0.466431401415922	0.915222880598775
3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	7.65933945329386	7.6865582359776	7.5613315843366	-0.175098030046979	0.976794997930114	-0.150557043309518	0.427457113313159	0.323052257676454	0.803196129171872	0.618595099753188	0.921156452102323
3-oxoacyl-coenzyme A reductase of elongase (EC 1.1.1.62)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASI	0.496863461066178	1.32032543107183	-0.793565136223194	-2.01372936730328	5.66058689977525	-0.368513730695815	0.289062552207008	0.203554625519341	0.784304696149921	0.112283058466302	0.87468325417449
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||polyprenyl_synthesis	5.76106537227361	5.80139655423239	5.64328420078174	-0.143924300079293	1.2883842841796	-0.0694276937175235	0.457098292697049	0.451501732700928	0.818205657812931	0.795146368724155	0.93731099945499
4'-phosphopantetheinyl transferase (EC 2.7.8.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	7.19993185754538	7.12307567022432	7.34801745144057	0.327869899891991	1.11795693646286	0.229813578577844	0.389062523738901	0.690916532209687	0.910435353064961	0.443192220415034	0.918302489755927
4'-phosphopantetheinyl transferase of FASI (EC 2.7.8.7)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASI	-1.95974846086369	0.429516398107037	-2.49773999142008	-1.11480897196481	7.05935199156456	-0.145798328906873	0.451562509947986	0.793662482314221	0.926984461950835	0.743641613804153	0.935338599237454
8-amino-7-oxononanoate synthase (EC 2.3.1.47)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Sphingolipid_biosynthesis	4.70584902874542	5.31706984414754	4.44495078024015	-0.487259937171646	2.10640588521195	-0.221201248499629	0.394695810180191	0.309198171453277	0.800178542244743	0.464320255499145	0.916826649638395
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	5.98320458442515	6.13053190268994	5.75364000277941	-0.430026307674988	1.33874485369271	-0.366982101669215	0.295312550027769	0.108253040165659	0.775459125161873	0.169316727196952	0.885482860556731
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	8.15231723039063	8.1719044411837	8.13652329827441	-0.241914457430999	1.22302188028439	-0.165585949147124	0.426562515270299	0.544014744131103	0.828790283088416	0.616934125278746	0.920794473086858
Acyclic terpenes utilization regulator AtuR, TetR family|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization	3.26271095159892	3.05396479851223	3.4466735140495	0.613386740209159	1.72452245496876	0.334862451825339	0.366614693712024	0.213198904480806	0.783595562234516	0.282620811367425	0.907149317833686
Acyl carrier protein (ACP1)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-1.05997659894881	-0.8399408987918	-1.4925666078197	-0.578719397797361	6.16826876475532	-0.076875131330556	0.455538230618297	0.468575610072328	0.829496419397438	0.753125997937821	0.939829428481489
Acyl carrier protein (ACP2)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	-5.68511370051147	-5.73283854589993	-5.62642076410731	0.57894101050031	4.23424837064317	0.146677730649948	0.442187511921351	0.462126987688554	0.838501795003962	0.639961033065232	0.931471322909459
Acyl carrier protein phosphodiesterase (EC 3.1.4.14)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	0.7634291724599	1.01242386448278	0.269985416751013	-1.48673984069024	3.13330509203629	-0.4305016742469	0.298437548965275	0.110353008145927	0.776410928971719	0.152105344346056	0.882959386179094
Acyl carrier protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	8.59560863088797	8.6383607905017	8.51054851281255	-0.147446851478749	1.10425184568618	-0.100998689373111	0.445312511260904	0.479869520811812	0.821673025622692	0.752004840167573	0.932845290694935
Acyl-CoA thioesterase II (EC 3.1.2.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Acyl-CoA_thioesterase_II	0.616144130305325	0.58992888403375	0.668719497151127	0.5079315121942	6.14929012412217	0.0748683852071282	0.462500007672546	0.669848049513392	0.891291113847079	0.776736783920414	0.944290089055732
Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	7.44785857992273	7.49785514320576	7.36533352038303	-0.186297160389251	0.997029479814152	-0.155674140199363	0.445312511260904	0.643511584058025	0.860732224938866	0.6733072944857	0.923022091637532
Biotin carboxyl carrier protein of acetyl-CoA carboxylase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	7.07939583060596	7.05153049410591	7.11684630352102	0.0693325234953552	1.20742559090879	0.0547921889310701	0.478125004459011	0.868817493387845	0.958289137893117	0.854852227397216	0.967257348348357
Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	7.34607196926442	7.37521965329962	7.31344912489146	0.0122873952051843	1.12311385561076	0.00723358981805111	0.495312500953757	0.867115133562469	0.958403366260727	0.880113247337028	0.961674996922902
