subsys4	subsys1	subsys2	subsys3	rab.all	rab.win.healthy	rab.win.nash	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Hydroxyneurosporene methyltransferase (EC 2.1.1.-)	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	1.75127169920635	2.93818790058457	0.0905414903997723	-1.97179093546294	2.97875663570407	-5.60056104552697	5.381549352077	0.350540471059909	6.60556768298892	-0.546381601714925	-8.08448877853426	3.63863262146595	0.292187551108132	0.170659883702161	0.780200130159558	0.151863386710039	0.884202251906321
Transcriptional regulator for fatty acid degradation FadR, GntR family	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_acid_degradation_regulons	-3.37718762203252	-4.97689972872986	-2.16773916581545	2.84707718417475	5.17073126507153	-7.23502112108688	13.2206225605797	0.791831283202393	14.7771130951082	0.540834408168174	-1.92716991190087	6.18935547480232	0.248049990487059	0.114645391871724	0.771278441537109	0.0679906031468532	0.869955088260004
polyhydroxyalkanoate granule-associated protein PhaI	Fatty Acids, Lipids, and Isoprenoids	NA	Polyhydroxybutyrate_metabolism	1.33106514468537	0.558204571188186	2.07106563253973	1.73978441750129	3.00454928222829	-2.7961617198975	8.52034127415048	0.39680043073767	7.40701370714168	0.535545495855051	-1.4258762096595	6.55393442626249	0.258970422497831	0.0454130493847073	0.764542731551308	0.0755820345482691	0.872325414887721
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	-3.8582558148182	-5.58210392627202	-1.73555110625802	3.28419396632841	5.92238640449983	-8.09791656397629	14.3249942192254	0.905942015323202	15.3871777072587	0.535453742995398	-2.15771488343615	6.77255702019459	0.262500062397957	0.122647687149654	0.774515683297119	0.100618856762433	0.878349708727586
"phi-Carotenoid synthase" (EC 1.3.-.- and EC 2.1.1-)	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	0.470435960158105	0.992026067535892	-0.185206336911127	-2.45623727299015	3.85187052740187	-14.1566016397283	3.2349008402953	0.419395937758531	13.7003063308821	-0.525965139506666	-10.6574278556714	1.80186251678509	0.232449374006753	0.042302563649363	0.764705250227704	0.0445269707073113	0.867026573280143
CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	-5.44732241349538	-6.75180673813709	-2.23026900061796	3.34100368187735	6.41966067839483	-9.61805571214129	15.1329807323715	1.04375251351201	16.2921054279181	0.487159033027862	-2.98194206390315	5.93644631314326	0.317187542932545	0.158142725658849	0.773492397523157	0.174218293316591	0.883072355451592
Fatty acid degradation regulator YsiA, TetR family	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_acid_degradation_regulons	-4.96759703688415	-3.8279210492148	-6.15120691068806	-2.22859811715877	4.38896704050095	-11.7778035189317	6.11883237464025	0.754422552435504	12.2611392857349	-0.454762423407196	-5.60030297505462	2.55942935818717	0.289062552207008	0.152507441243403	0.774549942118091	0.147992064533763	0.876431713672217
Acyl carrier protein phosphodiesterase (EC 3.1.4.14)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	0.777542757029963	1.01288217409429	0.225088937667631	-1.42514087743787	3.11957894296892	-7.97190916761457	3.67104390995763	0.294179827626084	7.65585922572518	-0.452717597120979	-7.37207164813962	2.29590265483571	0.294851844101203	0.110590020656663	0.77672540869238	0.145321227727381	0.88338253043528
Phytoene dehydrogenase and related proteins	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	-7.56161480657386	-6.43004118428499	-8.43784117629416	-2.80088524097311	5.51493489650536	-13.4776437069312	7.48707417223693	0.966456054267338	15.0034230191647	-0.450938524195014	-5.75026748179613	2.41395632420862	0.293291782235424	0.186969737985526	0.755165363714649	0.216903476747711	0.852768515984083
Lysophospholipid acyltransferase	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	1.96569033598105	2.72479681296454	1.01556713638959	-1.24817215904573	2.70338668324274	-5.54643873739935	4.42976936631641	0.365187860011958	6.02910609949571	-0.445447471285103	-6.53023842076234	3.02353811896295	0.307332339181718	0.213028161342964	0.784728178962475	0.16995709882223	0.889803489705525
