subsys	length	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1	subsys
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	758.35499515034	33772	36523	37529	28141	38579	39474	42103	27163	23797	47004	34254	20282	72953	30162	19777	27721	16988	150694	24973	43164	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Phosphatidylglycerophosphatase A (EC 3.1.3.27)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	496.3	556	962	76	1038	70	324	119	322	88	605	316	563	166	601	998	423	10	1817	86	9	Phosphatidylglycerophosphatase A (EC 3.1.3.27)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||polyprenyl_synthesis	502.579185520362	6018	5866	7219	5170	6465	5977	6508	5068	4586	7384	6004	3777	13457	5836	3424	5278	3570	24881	4290	9396	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||polyprenyl_synthesis
Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis	992.3	1	6	5	0	0	0	0	1	1	1	2	0	58	0	7	795	0	7137	1	1	Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis
Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	969.942257217848	25323	19103	27961	20647	21839	25451	24649	18033	16242	30514	20228	12968	49865	16693	12440	11988	9024	108142	17054	26791	Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	828.728260869565	1559	2899	194	2833	1583	1858	593	1117	461	3483	621	2518	699	879	2039	2155	565	6531	281	128	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Squalene--hopene cyclase (EC 5.4.99.17)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1465.375	380	2443	2261	1081	1300	2377	3679	2727	296	1857	727	1149	2788	148	1439	706	239	5742	240	1007	Squalene--hopene cyclase (EC 5.4.99.17)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
Phosphatidylserine decarboxylase (EC 4.1.1.65)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	823.294573643411	5531	6233	7836	4367	7352	8903	6841	4655	5764	8061	4921	2232	17159	6398	2851	5100	4487	28553	5051	10351	Phosphatidylserine decarboxylase (EC 4.1.1.65)|||Fatty Acids, Lipids, and Isoprenoids|||Phospholipids|||Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
Acyl carrier protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	242.965591397849	5865	6327	6694	5567	6821	6946	8279	4721	5669	9327	4571	3829	15331	4301	3749	5151	3562	33316	4758	6053	Acyl carrier protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Short chain fatty acids transporter|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism	1309.42857142857	95	1160	132	679	195	141	416	74	380	158	827	16	1035	2153	188	615	163	2018	275	15	Short chain fatty acids transporter|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism
