	subsys	indices	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
1	"phi-Carotenoid synthase" (EC 1.3.-.- and EC 2.1.1-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1	364	191	31	77	662	169	314	64	97	500	10	425	94	0	42	202	3	237	114	0
2	(3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	2	0	0	0	0	0	0	0	0	0	0	540	0	0	0	0	0	0	0	3	0
3	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	3	12100	14857	10331	12108	13424	14341	12990	10315	7955	21831	9072	9896	19223	7100	10477	7642	4864	49947	6240	9819
4	(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Archaeal_lipids	4	247	999	26	469	63	112	1298	117	195	703	93	1456	0	0	612	1831	396	1	257	4
5	[Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASI	5	254	3	113	0	146	0	0	188	0	518	21	15	2	3	30	363	0	16	264	1386
6	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||polyprenyl_synthesis	6	10917	10917	12901	9572	11743	10816	12038	9241	8284	13509	10816	6907	24185	10607	6407	9725	6608	44614	7756	16997
7	2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	7	37	212	46	16	1144	1112	193	57	59	557	1434	21	84	1215	7	180	363	1120	116	685
8	3-hydroxy-3isohexenylglutaryl-CoA:acetate lyase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization	8	0	0	0	0	0	1	2	0	0	3	0	0	0	0	2	0	0	0	3	0
9	3-hydroxydecanoyl-[ACP] dehydratase (EC 4.2.1.60)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	9	0	20	0	38	0	0	0	2	0	14	524	0	0	0	0	0	2	0	23	0
10	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	10	0	0	10	0	2	234	7	0	3	0	515	0	0	746	43	2	7	160	34	3
