refseq	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1	subsys4	subsys1	subsys2	subsys3
718905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)	Protein Metabolism	Protein biosynthesis	tRNA_aminoacylation,_Gly
1863766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tRNA 5-methylaminomethyl-2-thiouridine synthase TusC	Clustering-based subsystems	Translation	CBSS-326442.4.peg.1852
1619548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Carbon monoxide dehydrogenase small chain (EC 1.2.99.2)	Respiration	Electron donating reactions	CO_Dehydrogenase
801487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Transcription initiation factor IID 150 kD subunit	RNA Metabolism	Transcription	RNA_polymerase_II_initiation_factors
245303_Bacteroides_GG705151.1|EEY82289.1	1	0	0	4	0	2	0	0	1	1	1	0	0	5	2	0	0	0	0	0	DNA-binding protein HU	DNA Metabolism	NA	DNA_structural_proteins,_bacterial
1118442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D-xylose transport ATP-binding protein XylG	Carbohydrates	Monosaccharides	Xylose_utilization
1876861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Uncharacterized protein ImpJ/VasE	Clustering-based subsystems	NA	USS-DB-7
2206145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Flavodoxin 2	Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Flavodoxin
2006365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FIGfam050825	Phages, Prophages, Transposable elements, Plasmids	Transposable elements	CBSS-203122.12.peg.188
2227590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Alginate lyase precursor (EC 4.2.2.3)	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Alginate_metabolism
1296164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Putative antibiotic transport-associated protein	Clustering-based subsystems	NA	CBSS-196620.1.peg.2477
1113580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	acyl-acyl carrier protein synthetase (EC 6.2.1.20)	Virulence, Disease and Defense	NA	C_jejuni_colonization_of_chick_caeca
1208297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	Nucleosides and Nucleotides	Purines	Purine_conversions
945734	0	2	4	0	0	0	0	0	0	0	338	0	0	234	0	0	0	55	12	0	Conserved hypothetical TPR repeat protein, clustered with yghQ	Carbohydrates	NA	Conserved_cluster_around_inner_membrane_protein_gene_yghQ,_probably_involved_in_polysaccharide_biosynthesis
