refseq_id	subsys4	subsys1	subsys2	subsys3
1118889	Gamma-glutamyltranspeptidase (EC 2.3.2.2)	Stress Response	Oxidative stress	Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle
1588253	Glutamate--cysteine ligase (EC 6.3.2.2)	Stress Response	Oxidative stress	Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle
478591	Glutamate--cysteine ligase (EC 6.3.2.2), divergent, of Alpha- and Beta-proteobacteria type	Stress Response	Oxidative stress	Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle
962237	Glutamate--cysteine ligase archaeal (EC 6.3.2.2)	Stress Response	Oxidative stress	Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle
2123251	Glutathione biosynthesis bifunctional protein gshF (EC 6.3.2.2)(EC 6.3.2.3)	Stress Response	Oxidative stress	Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle
1810659	Glutathione synthetase (EC 6.3.2.3)	Stress Response	Oxidative stress	Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle
602146	Predicted alternative glutathione synthetase (EC 6.3.2.3)	Stress Response	Oxidative stress	Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle
786181	Putative exported protein clustered with Gamma-glutamyltranspeptidase	Stress Response	Oxidative stress	Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle
110839	Glycerate kinase (EC 2.7.1.31)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1258679	Aldehyde dehydrogenase (EC 1.2.1.3)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1278620	Aldehyde dehydrogenase B (EC 1.2.1.22)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
2045940	Alcohol dehydrogenase (EC 1.1.1.1)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1885738	Glycerol kinase (EC 2.7.1.30)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
985758	Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1501431	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
2043541	Phosphate:acyl-ACP acyltransferase PlsX	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
