row.names	refseq	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1	subsys4	subsys1	subsys2	subsys3
1	1	1863766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tRNA 5-methylaminomethyl-2-thiouridine synthase TusC			
2	2	718905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)			
3	3	1619548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Carbon monoxide dehydrogenase small chain (EC 1.2.99.2)			
4	4	801487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Transcription initiation factor IID 150 kD subunit			
5	5	245303_Bacteroides_GG705151.1|EEY82289.1	1	0	0	4	0	2	0	0	1	1	1	0	0	5	2	0	0	0	0	0	DNA-binding protein HU			
6	6	1118442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D-xylose transport ATP-binding protein XylG			
7	7	1876861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Uncharacterized protein ImpJ/VasE			
8	8	2206145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Flavodoxin 2			
9	9	2006365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FIGfam050825			
10	10	2227590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Alginate lyase precursor (EC 4.2.2.3)			
11	11	1113580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	acyl-acyl carrier protein synthetase (EC 6.2.1.20)			
